Год;Валовой внутренний продукт в рыночных ценах;Оплата труда наемных работников;в том числе оплата труда и смешанные доходы, не наблюдаемые прямыми статистическими методами;units;source 
2007;33247,5132;15526,1147;4450;млрд. руб.;NA_2015
2008;41276,8492;19559,761;5200;млрд. руб.;NA_2015
2009;38807,2186;20411,6144;5790;млрд. руб.;NA_2015
2010;46308,5412;22995,636;6632;млрд. руб.;NA_2015
2011;55967,2268;27762,8022;7868;млрд. руб.;NA_2015
2012;62176,495;31222,5068;8739;млрд. руб.;NA_2015
2013;66190,1199;34269,0059;9350;млрд. руб.;NA_2015
2014;71406,3992;37119,2388;10161;млрд. руб.;NA_2015
2011;60282,5404;26386,6754;6466,513;млрд. руб.;NA_2017
2012;68163,8831;30201,1615;7706,849;млрд. руб.;NA_2017
2013;73133,8951;33792,2822;8839,093;млрд. руб.;NA_2017
2014;79199,6585;37387,1764;10536,077;млрд. руб.;NA_2017
2015;83232,6184;38091,4522;9660,3377;млрд. руб.;NA_2017
2016;86043,6489;40779,2886;10297,3865;млрд. руб.;NA_2017
2014;79058,484;37430,458;10555,077;млрд. руб.;NA_2019
2015;83094,3046;39745,493;11199,5884;млрд. руб.;NA_2019
2016;86014,2043;41245,3638;11192,2787;млрд. руб.;NA_2019
2017;92101,3478;43884,3198;11923,4431;млрд. руб.;NA_2019
2018;103875,8004;48244,3682;13062,5665;млрд. руб.;NA_2019
2013;72985,7011;33800,0735;8839,093;млрд. руб.;NA_2021
2014;79030,0401;37438,9617;10555,077;млрд. руб.;NA_2021
2015;83087,3601;39748,9208;11199,5884;млрд. руб.;NA_2021
2016;85616,0838;41237,4508;11192,2787;млрд. руб.;NA_2021
2017;91843,1542;43897,5364;11923,4431;млрд. руб.;NA_2021
2018;103861,6511;46415,8098;11476,8817;млрд. руб.;NA_2021
2019;109241,5364;48165,9148;10323,0434;млрд. руб.;NA_2021
2020;106967,4594;50345,915;10748,1614;млрд. руб.;NA_2021
2015;83087,3601;39748,9208;11199,5884;млрд. руб.;NA_2023
2016;85616,0838;41237,4508;11192,2787;млрд. руб.;NA_2023
2017;91843,1542;43897,5364;11923,4431;млрд. руб.;NA_2023
2018;103861,6511;46415,8098;11476,8817;млрд. руб.;NA_2023
2019;109608,3058;48383,0475;10793,0434;млрд. руб.;NA_2023
2020;107658,131;48696,7037;10288,12;млрд. руб.;NA_2023
2021;135294,9746;54703,6412;12130,9551;млрд. руб.;NA_2023
2022;153435,1528;59907,6304;12094,1224;млрд. руб.;NA_2023
2016;85616083,8;41237450,8;11192278,7;млн. руб.;NAs_08_2024
2017;91843154,2;43897536,4;11923443,1;млн. руб.;NAs_08_2024
2018;103861651,1;46415809,8;11476881,7;млн. руб.;NAs_08_2024
2019;109608305,8;48383047,5;10793043,4;млн. руб.;NAs_08_2024
2020;107658131;48696703,7;10288120;млн. руб.;NAs_08_2024
2021;135773769;54830354,8;12130955,1;млн. руб.;NAs_08_2024
2022;155188881,1;60931866,3;13317226,5;млн. руб.;NAs_08_2024
2023;172148311,9;69432095,7;13401738,9;млн. руб.;NAs_08_2024
2014;79030040,1;37438961,7;10555077;млн. руб.;NAs_08_2022
2015;83087360,1;39748920,8;11199588,4;млн. руб.;NAs_08_2022
2016;85616083,8;41237450,8;11192278,7;млн. руб.;NAs_08_2022
2017;91843154,2;43897536,4;11923443,1;млн. руб.;NAs_08_2022
2018;103861651,1;46415809,8;11476881,7;млн. руб.;NAs_08_2022
2019;109608305,8;48383047,5;10793043,4;млн. руб.;NAs_08_2022
2020;107390333,2;48897313,2;9888120;млн. руб.;NAs_08_2022
2021;131014989,3;54101599,1;11445396,7;млн. руб.;NAs_08_2022
2011;60114000,8;26385053,6;6466513;млн. руб.;NAs_07_2020
2012;68103449,6;30187193,6;7706849;млн. руб.;NAs_07_2020
2013;72985701,1;33800073,5;8839093;млн. руб.;NAs_07_2020
2014;79030040,1;37438961,8;10555077;млн. руб.;NAs_07_2020
2015;83087360,1;39748920,8;11199588,4;млн. руб.;NAs_07_2020
2016;85616083,8;41237450,8;11192278,7;млн. руб.;NAs_07_2020
2017;91843154,2;43897536,4;11923443,1;млн. руб.;NAs_07_2020
2018;104629637,7;47107278,1;12076881,7;млн. руб.;NAs_07_2020
2019;110046051,6;50321125,3;12853559;млн. руб.;NAs_07_2020
2011;60282540,4;26386675,4;6466513;млн. руб.;NAs_08_2018
2012;68163883,1;30201161,5;7706849;млн. руб.;NAs_08_2018
2013;73133895,1;33792282,2;8839093;млн. руб.;NAs_08_2018
2014;79199658,5;37387176,4;10536077;млн. руб.;NAs_08_2018
2015;83387191,7;38697771,5;10152588,4;млн. руб.;NAs_08_2018
2016;86148565,6;40941461,9;10637278,7;млн. руб.;NAs_08_2018
2017;92037175,7;43904226,5;11367991,5;млн. руб.;NAs_08_2018
2011;59698117,4;26226731,1;6306573;млн. руб.;NAs_09_2016
2012;66926863,3;29592301,5;7166849;млн. руб.;NAs_09_2016
2013;71016728,7;33143576,4;8506093;млн. руб.;NAs_09_2016
2014;77945071,5;36495892;10376077;млн. руб.;NAs_09_2016
2015;80804310,2;38131666,6;10857947,3;млн. руб.;NAs_09_2016
2000;7306;2937;810;млрд. руб.;RUS_2021
2010;46309;22996;6632;млрд. руб.;RUS_2021
2018;103862;47016;12077;млрд. руб.;RUS_2021
2019;109242;50578;12735;млрд. руб.;RUS_2021
2020;106967;52696;13098;млрд. руб.;RUS_2021
2000;7306;2937;810;млрд. руб.;RUS_2020
2005;21610;9474;2551;млрд. руб.;RUS_2020
2010;46309;22996;6632;млрд. руб.;RUS_2020
2015;83087;39749;11199;млрд. руб.;RUS_2020
2016;85616;41237;11192;млрд. руб.;RUS_2020
2017;91843;43897;11923;млрд. руб.;RUS_2020
2018;104630;48121;13090;млрд. руб.;RUS_2020
2019;110046;51409;13941;млрд. руб.;RUS_2020
2000;7306;2937;810;млрд. руб.;RUS_2019
2005;21610;9474;2551;млрд. руб.;RUS_2019
2010;46309;22996;6632;млрд. руб.;RUS_2019
2014;79058;37430;10555;млрд. руб.;RUS_2019
2015;83094;39745;11200;млрд. руб.;RUS_2019
2016;86014;41245;11192;млрд. руб.;RUS_2019
2017;92101;43884;11923;млрд. руб.;RUS_2019
2018;103876;48244;13063;млрд. руб.;RUS_2019
2000;7306;2937;810;млрд. руб.;RUS_2018
2005;21610;9474;2551;млрд. руб.;RUS_2018
2010;46309;22996;6632;млрд. руб.;RUS_2018
2013;71017;33144;8506;млрд. руб.;RUS_2018
2014;79200;37387;10536;млрд. руб.;RUS_2018
2015;83387;39110;10565;млрд. руб.;RUS_2018
2016;86149;41277;10972;млрд. руб.;RUS_2018
2017;92037;44263;11727;млрд. руб.;RUS_2018
2000;7306;2937;810;млрд. руб.;RUS_2017
2005;21610;9474;2551;млрд. руб.;RUS_2017
2010;46309;22996;6632;млрд. руб.;RUS_2017
2012;66927;29592;7167;млрд. руб.;RUS_2017
2013;71017;33144;8506;млрд. руб.;RUS_2017
2014;79200;37387;10536;млрд. руб.;RUS_2017
2015;83233;37571;9140;млрд. руб.;RUS_2017
2016;86044;40224;9742;млрд. руб.;RUS_2017
2000;7306;2937;810;млрд. руб.;RUS_2016
2005;21610;9474;2551;млрд. руб.;RUS_2016
2010;46309;22996;6632;млрд. руб.;RUS_2016
2011;59698;26227;6307;млрд. руб.;RUS_2016
2012;66927;29592;7167;млрд. руб.;RUS_2016
2013;71017;32754;8116;млрд. руб.;RUS_2016
2014;77945;36196;10076;млрд. руб.;RUS_2016
2015;80804;37820;10546;млрд. руб.;RUS_2016
2000;7306;2937;810;млрд. руб.;RUS_2015
2005;21610;9474;2551;млрд. руб.;RUS_2015
2009;38807;20412;5790;млрд. руб.;RUS_2015
2010;46309;22996;6632;млрд. руб.;RUS_2015
2011;55967;27763;7868;млрд. руб.;RUS_2015
2012;62176;31222;8739;млрд. руб.;RUS_2015
2013;66190;34269;9350;млрд. руб.;RUS_2015
2014;71406;37119;10161;млрд. руб.;RUS_2015
2000;7306;2937;810;млрд. руб.;RUS_2014
2005;21610;9474;2551;млрд. руб.;RUS_2014
2008;41277;19560;5200;млрд. руб.;RUS_2014
2009;38807;20412;5790;млрд. руб.;RUS_2014
2010;46309;22996;6632;млрд. руб.;RUS_2014
2011;55967;27763;7868;млрд. руб.;RUS_2014
2012;62218;31462;8959;млрд. руб.;RUS_2014
2013;66755;34628;9612;млрд. руб.;RUS_2014
2000;7306;2937;810;млрд. руб.;RUS_2013
2005;21610;9474;2551;млрд. руб.;RUS_2013
2007;33248;15526;4450;млрд. руб.;RUS_2013
2008;41277;19560;5200;млрд. руб.;RUS_2013
2009;38807;20412;5790;млрд. руб.;RUS_2013
2010;46309;22996;6632;млрд. руб.;RUS_2013
2011;55800;27647;7868;млрд. руб.;RUS_2013
2012;62599;31578;9018;млрд. руб.;RUS_2013
1995;1429;648;110;трлн. руб.;RUS_2012
2000;7306;2937;810;млрд. руб.;RUS_2012
2005;21610;9474;2551;млрд. руб.;RUS_2012
2007;33248;15526;4450;млрд. руб.;RUS_2012
2008;41277;19560;5200;млрд. руб.;RUS_2012
2009;38807;20412;5790;млрд. руб.;RUS_2012
2010;45173;22534;6450;млрд. руб.;RUS_2012
2011;54586;27168;7703;млрд. руб.;RUS_2012
1995;1429;648;110;трлн. руб.;RUS_2011
2000;7306;2937;810;млрд. руб.;RUS_2011
2005;21610;9474;2551;млрд. руб.;RUS_2011
2006;26917;11986;3450;млрд. руб.;RUS_2011
2007;33248;15526;4450;млрд. руб.;RUS_2011
2008;41277;19560;5200;млрд. руб.;RUS_2011
2009;38786;20494;5790;млрд. руб.;RUS_2011
2010;44939;22640;6420;млрд. руб.;RUS_2011
1995;1429;648;110;трлн. руб.;RUS_2010
2000;7306;2937;810;млрд. руб.;RUS_2010
2003;13243;6231;1496;млрд. руб.;RUS_2010
2004;17048;7845;1995;млрд. руб.;RUS_2010
2005;21625;9474;2551;млрд. руб.;RUS_2010
2006;26903;11986;3450;млрд. руб.;RUS_2010
2007;33258;15527;4450;млрд. руб.;RUS_2010
2008;41445;19552;5200;млрд. руб.;RUS_2010
2009;39064;20229;5390;млрд. руб.;RUS_2010
1995;1429;648;110;трлн. руб.;RUS_2009
2000;7306;2937;810;млрд. руб.;RUS_2009
2002;10831;5065;1249;млрд. руб.;RUS_2009
2003;13243;6231;1496;млрд. руб.;RUS_2009
2004;17048;7845;1995;млрд. руб.;RUS_2009
2005;21625;9474;2551;млрд. руб.;RUS_2009
2006;26904;11986;3450;млрд. руб.;RUS_2009
2007;33111;15304;4240;млрд. руб.;RUS_2009
2008;41668;19010;5225;млрд. руб.;RUS_2009
1995;1429;648;110;трлн. руб.;RUS_2008
2000;7306;2937;810;млрд. руб.;RUS_2008
2001;8944;3848;993;млрд. руб.;RUS_2008
2002;10831;5065;1249;млрд. руб.;RUS_2008
2003;13243;6231;1496;млрд. руб.;RUS_2008
2004;17048;7845;1995;млрд. руб.;RUS_2008
2005;21625;9474;2551;млрд. руб.;RUS_2008
2006;26880;11841;3207;млрд. руб.;RUS_2008
2007;32987;15053;3925;млрд. руб.;RUS_2008
1995;1429;648;110;трлн. руб.;RUS_2007
2000;7306;2937;810;млрд. руб.;RUS_2007
2001;8944;3848;993;млрд. руб.;RUS_2007
2002;10831;5065;1249;млрд. руб.;RUS_2007
2003;13243;6231;1496;млрд. руб.;RUS_2007
2004;17048;7845;1995;млрд. руб.;RUS_2007
2005;21620;9468;2551;млрд. руб.;RUS_2007
2006;26781;11816;3184;млрд. руб.;RUS_2007
1995;1429;648;110;трлн. руб.;RUS_2006
2000;7306;2937;810;млрд. руб.;RUS_2006
2001;8944;3848;993;млрд. руб.;RUS_2006
2002;10831;5065;1249;млрд. руб.;RUS_2006
2003;13243;6231;1496;млрд. руб.;RUS_2006
2004;16966;7757;1985;млрд. руб.;RUS_2006
2005;21598;9343;2547;млрд. руб.;RUS_2006
1995;1429;648;110;трлн. руб.;RUS_2005
2000;7306;2937;810;млрд. руб.;RUS_2005
2001;8944;3848;993;млрд. руб.;RUS_2005
2002;10818;5047;1249;млрд. руб.;RUS_2005
2003;13201;6187;1488;млрд. руб.;RUS_2005
2004;16779;7685;1963;млрд. руб.;RUS_2005
1995;1429;648;110;трлн. руб.;RUS_2004
1998;2630;1263;270;млрд. руб.;RUS_2004
1999;4823;1933;525;млрд. руб.;RUS_2004
2000;7306;2937;810;млрд. руб.;RUS_2004
2001;8944;3848;993;млрд. руб.;RUS_2004
2002;10834;5048;1249;млрд. руб.;RUS_2004
2003;13285;6132;1488;млрд. руб.;RUS_2004
1995;1429;648;110;трлн. руб.;RUS_2003
1997;2343;1202;270;трлн. руб.;RUS_2003
1998;2630;1263;270;млрд. руб.;RUS_2003
1999;4823;1933;525;млрд. руб.;RUS_2003
2000;7306;2937;810;млрд. руб.;RUS_2003
2001;9039;3860;1004;млрд. руб.;RUS_2003
2002;10863;5012;1249;млрд. руб.;RUS_2003
1995;1540;696;160;трлн. руб.;RUS_2002
1996;2146;1065;250;трлн. руб.;RUS_2002
1997;2479;1239;290;трлн. руб.;RUS_2002
1998;2741;1292;277;млрд. руб.;RUS_2002
1999;4767;1934;525;млрд. руб.;RUS_2002
2000;7302;2936;810;млрд. руб.;RUS_2002
2001;9041;4069;1003;млрд. руб.;RUS_2002
1995;1540;696;160;трлн. руб.;RUS_2001
1996;2146;1065;250;трлн. руб.;RUS_2001
1997;2479;1239;290;трлн. руб.;RUS_2001
1998;2741;1292;277;млрд. руб.;RUS_2001
1999;4757;1947;525;млрд. руб.;RUS_2001
2000;7063;2822;782;млрд. руб.;RUS_2001
1993;172;76;9;трлн. руб.;RUS_2000
1994;611;301;52;трлн. руб.;RUS_2000
1995;1540;696;160;трлн. руб.;RUS_2000
1996;2146;1065;250;трлн. руб.;RUS_2000
1997;2479;1239;290;трлн. руб.;RUS_2000
1998;2696;1283;269;млрд. руб.;RUS_2000
1999;4545;1923;491;млрд. руб.;RUS_2000
1993;171509,5;76346,2;9100;млрд. руб.;RUS_1998
1994;610745,2;300997,6;52000;млрд. руб.;RUS_1998
1995;1585025,8;695804,4;160000;млрд. руб.;RUS_1998
1996;2200225,3;1032508,9;250000;млрд. руб.;RUS_1998
1997;2602270,9;1207744,3;287000;млрд. руб.;RUS_1998
1995;1428522,1;647875,8;110000;млрд. руб.;YEARBOOK_2003
1996;2007825,1;1022643,3;220000;млрд. руб.;YEARBOOK_2003
1997;2342514;1202900,5;270000;млрд. руб.;YEARBOOK_2003
1998;2629623;1263046,9;270000;млн. руб.;YEARBOOK_2003
1999;4823233,5;1933606,1;525000;млн. руб.;YEARBOOK_2003
2000;7305646,3;2937229,9;810000;млн. руб.;YEARBOOK_2003
2001;9039440,6;3860412,6;1004000;млн. руб.;YEARBOOK_2003
2002;10863361,6;5010509,5;1249000;млн. руб.;YEARBOOK_2003
1995;1428522;647876;110000;млрд. руб.;YEARBOOK_2004
1996;2007825;1022643;220000;млрд. руб.;YEARBOOK_2004
1997;2342514;1202901;270000;млрд. руб.;YEARBOOK_2004
1998;2629623;1263047;270000;млн. руб.;YEARBOOK_2004
1999;4823234;1933606;525000;млн. руб.;YEARBOOK_2004
2000;7305646;2937230;810000;млн. руб.;YEARBOOK_2004
2001;8943582;3848399;993500;млн. руб.;YEARBOOK_2004
2002;10834170;5047545;1249000;млн. руб.;YEARBOOK_2004
2003;13285241;6132200;1488000;млн. руб.;YEARBOOK_2004
1995;1428522;647876;110000;млрд. руб.;YEARBOOK_2005
1996;2007825;1022643;220000;млрд. руб.;YEARBOOK_2005
1997;2342514;1202901;270000;млрд. руб.;YEARBOOK_2005
1998;2629623;1263047;270000;млн. руб.;YEARBOOK_2005
1999;4823234;1933606;525000;млн. руб.;YEARBOOK_2005
2000;7305646;2937230;810000;млн. руб.;YEARBOOK_2005
2001;8943582;3848399;993500;млн. руб.;YEARBOOK_2005
2002;10830535;5065101;1249000;млн. руб.;YEARBOOK_2005
2003;13243240;6223712;1496400;млн. руб.;YEARBOOK_2005
2004;16751532;7661283;1963000;млн. руб.;YEARBOOK_2005
1995;1428522;647876;110000;млрд. руб.;YEARBOOK_2006
2000;7305646;2937230;810000;млн. руб.;YEARBOOK_2006
2001;8943582;3848399;993500;млн. руб.;YEARBOOK_2006
2002;10830535;5065101;1249000;млн. руб.;YEARBOOK_2006
2003;13243240;6231387;1496400;млн. руб.;YEARBOOK_2006
2004;16966400;7757729;1986000;млн. руб.;YEARBOOK_2006
2005;21597968;9342579;2546700;млн. руб.;YEARBOOK_2006
1995;1428522;647876;110000;млрд. руб.;YEARBOOK_2007
2000;7305646;2937230;810000;млн. руб.;YEARBOOK_2007
2001;8943582;3848399;993500;млн. руб.;YEARBOOK_2007
2002;10830535;5065101;1249000;млн. руб.;YEARBOOK_2007
2003;13243240;6231387;1496400;млн. руб.;YEARBOOK_2007
2004;17048122;7845037;1995100;млн. руб.;YEARBOOK_2007
2005;21620111;9467569;2551000;млн. руб.;YEARBOOK_2007
2006;26781103;11816146;3184400;млн. руб.;YEARBOOK_2007
1995;1428522;647876;110000;млрд. руб.;YEARBOOK_2008
2000;7305646;2937230;810000;млн. руб.;YEARBOOK_2008
2001;8943582;3848399;993500;млн. руб.;YEARBOOK_2008
2002;10830535;5065101;1249000;млн. руб.;YEARBOOK_2008
2003;13243240;6231387;1496400;млн. руб.;YEARBOOK_2008
2004;17048122;7845037;1995100;млн. руб.;YEARBOOK_2008
2005;21625372;9474267;2551000;млн. руб.;YEARBOOK_2008
2006;26879762;11841301;3207000;млн. руб.;YEARBOOK_2008
2007;32987375;15052662;3925000;млн. руб.;YEARBOOK_2008
1995;1428522;647876;110000;млрд. руб.;YEARBOOK_2009
2000;7305646;2937230;810000;млн. руб.;YEARBOOK_2009
2001;8943582;3848399;993500;млн. руб.;YEARBOOK_2009
2002;10830535;5065101;1249000;млн. руб.;YEARBOOK_2009
2003;13243240;6231387;1496400;млн. руб.;YEARBOOK_2009
2004;17048122;7845037;1995100;млн. руб.;YEARBOOK_2009
2005;21625372;9474267;2551000;млн. руб.;YEARBOOK_2009
2006;26903494;11985906;3450000;млн. руб.;YEARBOOK_2009
2007;33111382;15304206;4240000;млн. руб.;YEARBOOK_2009
2008;41668034;19009651;5225000;млн. руб.;YEARBOOK_2009
1995;1428522;647876;110000;млрд. руб.;YEARBOOK_2010
2000;7305646;2937230;810000;млн. руб.;YEARBOOK_2010
2002;10819212;5065101;1249000;млн. руб.;YEARBOOK_2010
2003;13208234;6231388;1496400;млн. руб.;YEARBOOK_2010
2004;17027191;7845037;1995100;млн. руб.;YEARBOOK_2010
2005;21609766;9474267;2551000;млн. руб.;YEARBOOK_2010
2006;26917201;11985906;3450000;млн. руб.;YEARBOOK_2010
2007;33247513;15526115;4450000;млн. руб.;YEARBOOK_2010
2008;41428561;19553149;5200000;млн. руб.;YEARBOOK_2010
2009;39100653;20229690;5390000;млн. руб.;YEARBOOK_2010
1995;1428522;647876;110000;млрд. руб.;YEARBOOK_2011
2000;7305646;2937230;810000;млн. руб.;YEARBOOK_2011
2005;21609766;9474267;2551000;млн. руб.;YEARBOOK_2011
2006;26917201;11985906;3450000;млн. руб.;YEARBOOK_2011
2007;33247513;15526115;4450000;млн. руб.;YEARBOOK_2011
2008;41276849;19559761;5200000;млн. руб.;YEARBOOK_2011
2009;38786372;20494230;5790000;млн. руб.;YEARBOOK_2011
2010;44939153;22640345;6420000;млн. руб.;YEARBOOK_2011
2000;7305646;2937230;810000;млн. руб.;YEARBOOK_2012
2005;21609766;9474267;2551000;млн. руб.;YEARBOOK_2012
2006;26917201;11985906;3450000;млн. руб.;YEARBOOK_2012
2007;33247513;15526115;4450000;млн. руб.;YEARBOOK_2012
2008;41276849;19559761;5200000;млн. руб.;YEARBOOK_2012
2009;38807219;20411614;5790000;млн. руб.;YEARBOOK_2012
2010;45172748;22533682;6450000;млн. руб.;YEARBOOK_2012
2011;54585623;27167649;7703000;млн. руб.;YEARBOOK_2012
2000;7305646;2937230;810000;млн. руб.;YEARBOOK_2013
2005;21609766;9474267;2551000;млн. руб.;YEARBOOK_2013
2010;46308541;22995636;6632000;млн. руб.;YEARBOOK_2013
2011;55799573;27646522;7868000;млн. руб.;YEARBOOK_2013
2012;62599057;31577937;9018000;млн. руб.;YEARBOOK_2013
2000;7305646;2937230;810000;млн. руб.;YEARBOOK_2014
2005;21609766;9474267;2551000;млн. руб.;YEARBOOK_2014
2010;46308541;22995636;6632000;млн. руб.;YEARBOOK_2014
2011;55967227;27762802;7868000;млн. руб.;YEARBOOK_2014
2012;62218378;31462487;8959000;млн. руб.;YEARBOOK_2014
2013;66755302;34628394;9612000;млн. руб.;YEARBOOK_2014
2000;7305646;2937230;810000;млн. руб.;YEARBOOK_2015
2005;21609766;9474267;2551000;млн. руб.;YEARBOOK_2015
2010;46308541;22995636;6632000;млн. руб.;YEARBOOK_2015
2011;55967227;27762802;7868000;млн. руб.;YEARBOOK_2015
2012;62176495;31222507;8739000;млн. руб.;YEARBOOK_2015
2013;66190120;34269006;9350000;млн. руб.;YEARBOOK_2015
2014;71406399;37119239;10161000;млн. руб.;YEARBOOK_2015
2000;7305646;2937230;810000;млн. руб.;YEARBOOK_2016
2011;59698117;26226731;6306573;млн. руб.;YEARBOOK_2016
2012;66926863;29592302;7166849;млн. руб.;YEARBOOK_2016
2013;71016729;33143576;8506093;млн. руб.;YEARBOOK_2016
2014;77945072;36495892;10376077;млн. руб.;YEARBOOK_2016
2015;80804310;38131667;10857947;млн. руб.;YEARBOOK_2016
2011;60282540;26386675;6466513;млн. руб.;YEARBOOK_2017
2014;79199659;37387176;10536077;млн. руб.;YEARBOOK_2017
2015;83232618;38091452;9660338;млн. руб.;YEARBOOK_2017
2016;86043649;40779289;10297387;млн. руб.;YEARBOOK_2017
2011;60282540;26386675;6466513;млн. руб.;YEARBOOK_2018
2015;83387192;38697772;10152588;млн. руб.;YEARBOOK_2018
2016;86148566;40941462;10637279;млн. руб.;YEARBOOK_2018
2017;92037176;43904227;11367992;млн. руб.;YEARBOOK_2018
2011;60282540;26386675;6466513;млн. руб.;YEARBOOK_2019
2016;86014204;41245364;11192279;млн. руб.;YEARBOOK_2019
2017;92101348;43884320;11923443;млн. руб.;YEARBOOK_2019
2018;103875800;48244368;13062566;млн. руб.;YEARBOOK_2019
2011;60114001;26385054;6466513;млн. руб.;YEARBOOK_2020
2017;91843154;43897536;11923443;млн. руб.;YEARBOOK_2020
2018;104629638;47107278;12076882;млн. руб.;YEARBOOK_2020
2019;110046052;50321125;12853559;млн. руб.;YEARBOOK_2020
2011;60114001;26385054;6466513;млн. руб.;YEARBOOK_2021
2018;103861651;46415810;11476882;млн. руб.;YEARBOOK_2021
2019;109241536;48165915;10323043;млн. руб.;YEARBOOK_2021
2020;106967459;50345915;10748161;млн. руб.;YEARBOOK_2021
2011;60114001;26385054;6466513;млн. руб.;YEARBOOK_2022
2019;109608306;48383048;10793043;млн. руб.;YEARBOOK_2022
2020;107390333;48897313;9888120;млн. руб.;YEARBOOK_2022
2021;131014989;54101599;11445397;млн. руб.;YEARBOOK_2022
2011;60114001;26385054;6466513;млн. руб.;YEARBOOK_2023
2020;107658131;48696704;10288120;млн. руб.;YEARBOOK_2023
2021;135294975;54703641;12130955;млн. руб.;YEARBOOK_2023
2022;153435153;59907630;12094122;млн. руб.;YEARBOOK_2023
1990;644,2;314,4;;млрд. руб.;YEARBOOK_1997
1991;1398,5;610,9;;млрд. руб.;YEARBOOK_1997
1992;19005,5;6979,4;;млрд. руб.;YEARBOOK_1997
1993;171509,5;76346,2;9100;млрд. руб.;YEARBOOK_1997
1994;610745,2;300997,6;52000;млрд. руб.;YEARBOOK_1997
1995;1630078,9;707888,6;170000;млрд. руб.;YEARBOOK_1997
1996;2256120,7;1034928,7;250000;млрд. руб.;YEARBOOK_1997
1991;1398,5;610,9;;млрд. руб.;YEARBOOK_1999
1992;19005,5;6979,4;;млрд. руб.;YEARBOOK_1999
1993;171509,5;76346,2;9100;млрд. руб.;YEARBOOK_1999
1994;610745,2;300997,6;52000;млрд. руб.;YEARBOOK_1999
1995;1540492,8;695804,4;160000;млрд. руб.;YEARBOOK_1999
1996;2145655,5;1064174,5;250000;млрд. руб.;YEARBOOK_1999
1997;2521941,5;1242155,7;300000;млрд. руб.;YEARBOOK_1999
1998;2684538,6;1323403,5;319000;млн. руб.;YEARBOOK_1999
1991;1398,5;610,9;;млрд. руб.;YEARBOOK_2000
1992;19005,5;6979,4;;млрд. руб.;YEARBOOK_2000
1993;171509,5;76346,2;9100;млрд. руб.;YEARBOOK_2000
1994;610745,2;300997,6;52000;млрд. руб.;YEARBOOK_2000
1995;1540492,8;695804,4;160000;млрд. руб.;YEARBOOK_2000
1996;2145655,5;1064174,5;250000;млрд. руб.;YEARBOOK_2000
1997;2478594,1;1238895;290000;млрд. руб.;YEARBOOK_2000
1998;2696354,8;1282950,2;269000;млн. руб.;YEARBOOK_2000
1999;4545489,5;1923158,1;491000;млн. руб.;YEARBOOK_2000
1991;1398,5;610,9;;млрд. руб.;YEARBOOK_2002
1995;1540492,8;695804,4;160000;млрд. руб.;YEARBOOK_2002
1996;2145655,5;1064174,5;250000;млрд. руб.;YEARBOOK_2002
1997;2478594,1;1238895;290000;млрд. руб.;YEARBOOK_2002
1998;2741051,2;1292706,9;277000;млн. руб.;YEARBOOK_2002
1999;4766834,5;1933845,6;525000;млн. руб.;YEARBOOK_2002
2000;7302233,4;2936393,5;810000;млн. руб.;YEARBOOK_2002
2001;9040821;4069112,7;1002800;млн. руб.;YEARBOOK_2002
1991;1398,5;610,9;;млрд. руб.;YEARBOOK_2001
1992;19005,5;6979,4;;млрд. руб.;YEARBOOK_2001
1993;171509,5;76346,2;9100;млрд. руб.;YEARBOOK_2001
1994;610745,2;300997,6;52000;млрд. руб.;YEARBOOK_2001
1995;1540492,8;695804,4;160000;млрд. руб.;YEARBOOK_2001
1996;2145655,5;1064174,5;250000;млрд. руб.;YEARBOOK_2001
1997;2478594,1;1238895;290000;млрд. руб.;YEARBOOK_2001
1998;2741051,2;1292706,9;277000;млн. руб.;YEARBOOK_2001
1999;4757233,7;1947821,2;525000;млн. руб.;YEARBOOK_2001
2000;7063392,8;2821460,8;782000;млн. руб.;YEARBOOK_2001
1991;1398,5;610,9;;трлн. руб.;NA_1999
1992;19005,5;6979,4;;трлн. руб.;NA_1999
1993;171509,5;76346,2;9100;трлн. руб.;NA_1999
1994;610745,2;300997,6;52000;трлн. руб.;NA_1999
1995;1540492,8;695804,4;160000;трлн. руб.;NA_1999
1996;2145655,5;1064174,5;250000;трлн. руб.;NA_1999
1997;2521941,5;1242155,7;300000;трлн. руб.;NA_1999
1998;2684538,6;1323403,5;319000;млн. руб.;NA_1999
2011;60114001;26385054;6466513;млн. руб.;YEARBOOK_2024
2021;135773769;54830355;11750000;млн. руб.;YEARBOOK_2024
2022;155188881;60931866;12820000;млн. руб.;YEARBOOK_2024
2023;172148312;69432096;12800000;млн. руб.;YEARBOOK_2024
