Year;Quarter;Общая численность наёмных работников;работали на основе трудового договора (служебного контракта) в письменной форме ;работали на основе трудового договора (служебного контракта) в письменной форме постоянного ;работали на основе трудового договора (служебного контракта) в письменной форме временного или краткосрочного ;работали на основе устной договоренности с работодателем, без оформления документов;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе на временной или краткосрочной основе;работали на основе договора гражданско-правового характера;работали на основе трудового договора о выполнении работы на дому;работали на основе трудового договора о выполнении работы на дому с использованием сети «Интернет»  (дистанционная  работа);Source
2015;2;66928,80486;63367,7149;60775,26029;2592,454604;2822,385943;;;701,3246489;30,94586373;6,433512454;ORS_2016
2015;3;67490,39338;64059,84156;61294,30035;2765,541214;2804,472094;;;594,6554987;24,66587725;6,758341393;ORS_2016
2015;4;67290,6597;64064,17556;61369,32958;2694,845978;2604,050922;;;594,3567252;25,16655528;2,909940525;ORS_2016
2016;1;66400,88628;63414,06605;61004,85843;2409,207619;2375,66623;;;579,0132982;24,11192814;8,028775014;ORS_2016
2016;2;66637,78949;63469,67885;61020,893;2448,785841;2511,737364;;;611,8758948;38,22338873;6,273996675;ORS_2016
2016;3;67381,90149;64066,14469;61495,96353;2570,181167;2672,869955;;;611,4660297;23,51020928;7,910603415;ORS_2016
2016;4;67452,87252;64304,23114;61863,07589;2441,155254;2492,024251;;;634,6113787;18,68095628;3,324787558;ORS_2016
2014;1;65947,04014;62808,81297;60161,22961;2647,583365;2497,013867;;;598,1440046;26,42785945;16,64143435;ORS_2015
2014;2;66111,60652;62962,80099;60509,79212;2453,008867;2512,538391;;;584,5920971;28,44240006;23,23264097;ORS_2015
2014;3;66551,20687;63032,59995;60277,23799;2755,36196;2888,197275;;;579,7382028;32,20681906;18,4646196;ORS_2015
2014;4;66903,38831;63527,61053;60825,83809;2701,772443;2722,995192;;;599,3025659;26,54219582;26,93782294;ORS_2015
2015;1;66728,04028;63521,56883;60851,35242;2670,216416;2596,556789;;;576,3216151;27,78923628;5,803805375;ORS_2015
2015;2;66928,80486;63367,7149;60775,26029;2592,454604;2822,385943;;;701,3246489;30,94586373;6,433512454;ORS_2015
2015;3;67490,39338;64059,84156;61294,30035;2765,541214;2804,472094;;;594,6554987;24,66587725;6,758341393;ORS_2015
2015;4;67290,6597;64064,17556;61369,32958;2694,845978;2604,050922;;;594,3567252;25,16655528;2,909940525;ORS_2015
2013;1;66177,23616;62825,41532;60519,79109;2305,624237;2592,366216;;;736,5472746;22,90734654;;ORS_2014
2013;2;66166,43742;62750,74433;60561,41321;2189,331128;2699,182873;;;694,8312382;21,67897222;;ORS_2014
2013;3;66266,03311;62704,08144;60552,74253;2151,338906;2869,941387;;;669,2575075;22,75278051;;ORS_2014
2013;4;66177,61457;62755,51674;60533,75672;2221,760021;2647,90238;;;758,8299393;15,36550784;;ORS_2014
2014;1;65947,04014;62808,81297;60161,22961;2647,583365;2497,013867;;;598,1440046;26,42785945;16,64143435;ORS_2014
2014;2;66111,60652;62962,80099;60509,79212;2453,008867;2512,538391;;;584,5920971;28,44240006;23,23264097;ORS_2014
2014;3;66551,20687;63032,59995;60277,23799;2755,36196;2888,197275;;;579,7382028;32,20681906;18,4646196;ORS_2014
2014;4;66903,38831;63527,61053;60825,83809;2701,772443;2722,995192;;;599,3025659;26,54219582;26,93782294;ORS_2014
2012;1;65447,57758;62337,12419;59760,06134;2577,062853;2378,318811;;;714,7816148;17,35295797;;ORS_2013
2012;2;66936,52463;63706,61829;61208,89263;2497,725659;2380,351992;;;829,7019635;19,85239152;;ORS_2013
2012;3;67085,8071;63495,93516;61206,77668;2289,158484;2760,991982;;;812,9733152;15,90663916;;ORS_2013
2012;4;66921,38158;63663,51973;61582,85812;2080,661614;2440,503721;;;793,3161011;23,31906106;;ORS_2013
2013;1;66177,23616;62825,41532;60519,79109;2305,624237;2592,366216;;;736,5472746;22,90734654;;ORS_2013
2013;2;66166,43742;62750,74433;60561,41321;2189,331128;2699,182873;;;694,8312382;21,67897222;;ORS_2013
2013;3;66266,03311;62704,08144;60552,74253;2151,338906;2869,941387;;;669,2575075;22,75278051;;ORS_2013
2013;4;66177,61457;62755,51674;60533,75672;2221,760021;2647,90238;;;758,8299393;15,36550784;;ORS_2013
2011;1;64750,31892;61957,67107;59162,35383;2795,317238;2135,242504;;;642,6222661;14,78307789;;ORS_2012
2011;2;65799,50857;62752,25782;60240,85917;2511,398649;2351,970152;;;682,6691176;12,6114828;;ORS_2012
2011;3;66391,67592;63291,13992;60809,07515;2482,064775;2421,11921;;;662,7637235;16,65306844;;ORS_2012
2011;4;66367,49288;63351,12067;61152,57552;2198,545149;2339,974303;;;666,6412456;9,756662559;;ORS_2012
