Источник	Полное описание	Ссылка	Категория	Units	Комментарий
RUS_2003	Россия в цифрах. 2003: Крат.стат.сб./Госкомстат России. - M., 2003. - 398 с.	https://web.archive.org/web/20241127190841/https://rosstat.gov.ru/storage/mediabank/RUS03.ZIP	статистический сборник	"млрд. руб.;трлн. руб."	
RUS_2004	Россия в цифрах. 2004: Крат.стат.сб./Федеральная служба государственной статистики. - M., 2004. - 431 с.	https://web.archive.org/web/20241127190841/https://rosstat.gov.ru/storage/mediabank/RUS04.ZIP	статистический сборник	"млрд. руб.;трлн. руб."	
RUS_2005	Россия в цифрах. 2005: Крат.стат.сб./Росстат- M.,2005. - 477 с. 	https://web.archive.org/web/20241127190841/https://rosstat.gov.ru/storage/mediabank/rus05.zip	статистический сборник	"млрд. руб.;трлн. руб."	
RUS_2006	Россия в цифрах. 2006: Крат.стат.сб./Росстат- M.,2006. - 462 с. 	https://web.archive.org/web/20241127190841/https://rosstat.gov.ru/storage/mediabank/rus06.zip	статистический сборник	"млрд. руб.;трлн. руб."	
RUS_2007	Россия в цифрах. 2007: Крат.стат.сб./Росстат- M.,2007. - 494 с. 	https://web.archive.org/web/20241127190841/https://rosstat.gov.ru/storage/mediabank/rus07.zip	статистический сборник	"млрд. руб.;трлн. руб."	
RUS_2008	Россия в цифрах. 2008: Крат.стат.сб./Росстат- M.,2008. - 510 с. 	https://web.archive.org/web/20241127190841/https://rosstat.gov.ru/storage/mediabank/rus08.zip	статистический сборник	"млрд. руб.;трлн. руб."	
RUS_2009	Россия в цифрах. 2009: Крат.стат.сб./Росстат- M.,2009. - 525 с. 	https://web.archive.org/web/20241127190841/https://rosstat.gov.ru/storage/mediabank/rus09.zip	статистический сборник	"млрд. руб.;трлн. руб."	
RUS_2010	Россия в цифрах. 2010: Крат.стат.сб./Росстат- M.,2010. - 558 с.	https://web.archive.org/web/20241127190841/https://rosstat.gov.ru/storage/mediabank/rus10.rar	статистический сборник	"млрд. руб.;трлн. руб."	
RUS_2011	Россия в цифрах. 2011: Крат.стат.сб./Росстат- M.,2011. - 581 с.	https://web.archive.org/web/20241127190841/https://rosstat.gov.ru/storage/mediabank/rus11.rar	статистический сборник	"млрд. руб.;трлн. руб."	
RUS_2012	Россия в цифрах. 2012: Крат.стат.сб./Росстат- M.,2012. - 573 с.	https://web.archive.org/web/20241127190841/https://rosstat.gov.ru/storage/mediabank/rus12.rar	статистический сборник	"млрд. руб.;трлн. руб."	
RUS_2013	Россия в цифрах. 2013: Крат.стат.сб./Росстат- M.,2013. - 573 с.	https://web.archive.org/web/20241127190841/https://rosstat.gov.ru/storage/mediabank/rus13.rar	статистический сборник	млрд. руб.	
RUS_2014	Россия в цифрах. 2014: Крат.стат.сб./Росстат- M.,2014. - 558 с.	https://web.archive.org/web/20241127190841/https://rosstat.gov.ru/storage/mediabank/rus14.rar	статистический сборник	млрд. руб.	
RUS_2015	Россия в цифрах. 2015: Крат.стат.сб./Росстат- M.,2015. - 543 с.	https://web.archive.org/web/20241127190841/https://rosstat.gov.ru/storage/mediabank/rus15a.rar	статистический сборник	млрд. руб.	
RUS_2016	Россия в цифрах. 2016: Крат.стат.сб./Росстат- M.,2016. - 543 с.	https://web.archive.org/web/20241127190841/https://rosstat.gov.ru/storage/mediabank/rus16a.rar	статистический сборник	млрд. руб.	
RUS_2017	Россия в цифрах. 2017: Крат.стат.сб./Росстат- M.,2017. - 511 с.	https://web.archive.org/web/20241127190841/https://rosstat.gov.ru/storage/mediabank/rus17a.rar	статистический сборник	млрд. руб.	
RUS_2018	Россия в цифрах. 2018: Крат.стат.сб./Росстат- M.,2018. - 522 с.	https://web.archive.org/web/20241127190841/https://rosstat.gov.ru/storage/mediabank/rus18a.rar	статистический сборник	млрд. руб.	
RUS_2019	Россия в цифрах. 2019: Крат.стат.сб./Росстат- M.,2019 - 549 с.	https://web.archive.org/web/20241127190841/https://rosstat.gov.ru/storage/mediabank/rus19.pdf	статистический сборник	млрд. руб.	
RUS_2020	Россия в цифрах. 2020: Крат.стат.сб./Росстат- M.,2020 – 550 с.	https://web.archive.org/web/20241127190841/https://rosstat.gov.ru/storage/mediabank/GOyirKPV/Rus_2020.pdf	статистический сборник	млрд. руб.	
RUS_2021	Россия в цифрах. 2021: Крат.стат.сб./Росстат- M.,2021 – 275 с. 	https://web.archive.org/web/20241127190841/https://rosstat.gov.ru/storage/mediabank/iZs2jatp/rus_21.rar	статистический сборник	млрд. руб.	
