Year;Quarter;Занятые;Безработные;Общее количество занятых в неформальном секторе;только в неформальном секторе;в неформальном и формальном секторах;с основной работой в неформальном секторе;с дополнительной работой в неформальном секторе;Занятые в неформальном секторе в % к общей численности занятых;Общая численность наёмных работников;работали на основе трудового договора (служебного контракта) в письменной форме ;работали на основе трудового договора (служебного контракта) в письменной форме постоянного ;работали на основе трудового договора (служебного контракта) в письменной форме временного или краткосрочного ;работали на основе устной договоренности с работодателем, без оформления документов;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе на временной или краткосрочной основе;работали на основе договора гражданско-правового характера;работали на основе трудового договора о выполнении работы на дому;работали на основе трудового договора о выполнении работы на дому с использованием сети «Интернет»  (дистанционная  работа);Общее число владельцев предприятий и индивидуально работающих, включая самозанятых.;без регистрации или оформления документов;с регистрацией предприятия в качестве юридического лица;с регистрацией предприятия в качестве инливид.предпринимател;регистрация деятельности в стадии оформления;с регистрацией в качестве самозанятого;Source
2019;2;71636,85005;3429,803035;15250,42943;14170,51647;1079,912958;26,31991431;1053,593044;21,28852598;66667,38754;62955,04207;61007,22129;1947,820785;2853,545993;;;827,1276015;;31,67187485;;;;;;;ORS_2020
2019;3;72301,51248;3331,014659;15243,72255;14152,12318;1091,599369;20,79814231;1070,801227;21,08354587;67414,25128;63809,26455;61885,45492;1923,809633;2720,159086;;;850,4803117;;34,34733536;;;;;;;ORS_2020
2019;4;72392,36718;3485,242792;14901,68131;13943,36401;958,3172963;18,88869999;939,4285963;20,58460289;67576,1365;64120,24281;62216,10612;1904,136692;2542,120518;;;886,9690784;;26,80409206;;;;;;;ORS_2020
2020;1;71289,18444;3463,956111;14215,82883;13377,1682;838,6606348;21,00829363;817,6523412;19,94107373;66768,36522;63503,49662;61739,28093;1764,21569;2319,934712;;;905,595284;;39,33859579;;;;;;;ORS_2020
2020;2;70111,79531;4468,294968;13394,65346;12533,78879;860,864676;20,37479946;840,4898766;19,10470757;65257,19047;62306,60962;60722,9089;1583,700722;2022,428863;;;857,9023406;;70,24964132;;;;;;;ORS_2020
2020;3;70401,74885;4771,910928;14579,09764;13553,98075;1025,11689;22,72851281;1002,388377;20,70843107;65420,1113;62062,54222;60278,75529;1783,786926;2360,755303;;;947,1603235;;49,65344871;;;;;;;ORS_2020
2020;4;70602,82112;4580,986938;14297,95236;13362,20242;935,7499455;21,59369433;914,1562512;20,25124795;65886,05856;62660,22903;60960,27144;1699,95759;2280,349349;;;891,535143;;53,94503517;;;;;;;ORS_2020
2018;1;72056,0255;3844,54352;13961,24758;13123,36791;837,8796708;18,84668282;819,032988;19,37554491;67214,60037;64188,147;62210,82081;1977,32619;2429,614159;;;586,415455;;10,42375595;;;;;;;ORS_2019
2018;2;72443,67828;3620,800588;14684,8838;13735,58648;949,297322;21,50759361;927,7897284;20,27075951;67426,2154;64176,31979;62256,73481;1919,58498;2581,217347;;;662,49906;;6,179204239;;;;;;;ORS_2019
2018;3;73058,07186;3514,091247;15163,68894;14180,37493;983,3140022;18,89598781;964,4180144;20,75566539;67922,38129;64516,80662;62306,47793;2210,32868;2762,555801;;;633,1856657;;9,83320432;;;;;;;ORS_2019
2018;4;72568,78391;3654,454599;14515,78415;13606,93198;908,8521737;13,35246436;895,4997093;20,00279372;67745,8145;64643,52302;62348,59938;2294,923641;2460,752708;;;639,2874368;;2,25134189;;;;;;;ORS_2019
2019;1;71401,59399;3613,224651;13805,24873;13078,47706;726,7716697;13,17672201;713,5949477;19,33465061;66778,08536;63520,98239;61770,20696;1750,775427;2504,604133;;;723,4008494;;29,09798487;;;;;;;ORS_2019
